"Story","Title","Result","Date","Stability","Duration (s)"
"Creacion de cliente exitoso","Deposito en cuenta exitoso","IGNORED","2024-04-16T12:48:29.8548168-05:00[America/Bogota]","0.0","7.14"
"Creacion de cliente exitoso","Crear Cliente","SUCCESS","2024-04-19T10:38:08.219421-05:00[America/Bogota]","0.0","43.49"
"Creacion de cuenta exitoso","Crear Cuenta","SUCCESS","2024-04-19T10:38:53.513912-05:00[America/Bogota]","0.0","16.22"
"Deposito exitoso","Deposito en cuenta exitoso","SUCCESS","2024-04-19T10:39:10.3592821-05:00[America/Bogota]","0.0","17.84"
