"Story","Title","Result","Date","Stability","Duration (s)"
"Creacion de cuenta exitoso","Crear Cuenta","ERROR","2024-04-18T12:25:46.1998085-05:00[America/Bogota]","0.0","52.96"
"Deposito exitoso","Deposito en cuenta exitoso","ERROR","2024-04-18T12:22:27.3449758-05:00[America/Bogota]","0.0","35.8"
