"Story","Title","Result","Date","Stability","Duration (s)"
"Creacion de cuenta exitoso","Crear Cuenta","SUCCESS","2024-04-19T10:38:53.513912-05:00[America/Bogota]","0.0","16.22"
"Deposito exitoso","Deposito en cuenta exitoso","SUCCESS","2024-04-19T10:39:10.3592821-05:00[America/Bogota]","0.0","17.84"
