"Story","Title","Result","Date","Stability","Duration (s)"
"Creacion de cliente exitoso","Deposito en cuenta exitoso","IGNORED","2024-04-16T12:48:29.8548168-05:00[America/Bogota]","0.0","7.14"
"Creacion de cliente exitoso","Crear Cliente","IGNORED","2024-04-23T11:52:47.1634198-05:00[America/Bogota]","0.0","6.9"
